UserID,DestinationID,VisitDate,ExperienceRating,Preferences,Gender,NumberOfAdults,NumberOfChildren,Name_y,State,Type,Popularity,BestTimeToVisit,PreferencesList,PopularityNorm,ExperienceRatingNorm
525,760,2024-01-01,3,"City, Historical",Female,2,2,Leh Ladakh,Jammu and Kashmir,Adventure,8.352180026398809,Apr-Jun,"['City', 'Historical']",0.4248360537818492,0.5
184,532,2024-02-15,5,"Beaches, Historical",Male,1,2,Goa Beaches,Goa,Beach,8.988127174492362,Nov-Mar,"['Beaches', 'Historical']",0.7435568532374578,1.0
897,786,2024-03-20,2,"City, Historical",Female,1,2,Taj Mahal,Uttar Pradesh,Historical,8.389205905418272,Nov-Feb,"['City', 'Historical']",0.44339249797223024,0.25
470,660,2024-01-01,1,"Nature, Adventure",Male,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,7.923387964302513,Apr-Jun,"['Nature', 'Adventure']",0.209936200482333,0.0
989,389,2024-02-15,4,"Nature, Adventure",Male,2,1,Kerala Backwaters,Kerala,Nature,9.40914617773771,Sep-Mar,"['Nature', 'Adventure']",0.9545610439200154,0.75
266,394,2024-03-20,3,"Nature, Adventure",Male,2,1,Kerala Backwaters,Kerala,Nature,8.884525796968724,Sep-Mar,"['Nature', 'Adventure']",0.691634434891808,0.5
399,953,2024-01-01,2,"City, Historical",Male,1,1,Jaipur City,Rajasthan,City,8.321398766693164,Oct-Mar,"['City', 'Historical']",0.4094092565534252,0.25
869,901,2024-02-15,4,"Nature, Adventure",Male,1,1,Taj Mahal,Uttar Pradesh,Historical,7.94384380620817,Nov-Feb,"['Nature', 'Adventure']",0.22018815664764194,0.75
580,890,2024-03-20,1,"Beaches, Historical",Female,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.743039575412055,Apr-Jun,"['Beaches', 'Historical']",0.11955010022224996,0.0
876,727,2024-01-01,4,"City, Historical",Male,2,2,Goa Beaches,Goa,Beach,7.714387334549871,Nov-Mar,"['City', 'Historical']",0.10519031397088258,0.75
522,97,2024-02-15,2,"City, Historical",Female,2,0,Goa Beaches,Goa,Beach,8.882535315140167,Nov-Mar,"['City', 'Historical']",0.6906368552004747,0.25
989,779,2024-03-20,4,"Nature, Adventure",Male,2,1,Kerala Backwaters,Kerala,Nature,8.861507015552508,Sep-Mar,"['Nature', 'Adventure']",0.6800979975676313,0.75
469,715,2024-01-01,3,"Beaches, Historical",Male,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,8.402277983035928,Apr-Jun,"['Beaches', 'Historical']",0.44994389621551956,0.5
46,487,2024-02-15,1,"Beaches, Historical",Female,2,1,Goa Beaches,Goa,Beach,8.062331360639273,Nov-Mar,"['Beaches', 'Historical']",0.27957115441252195,0.0
